,radius,theta,value
243,198.0,0.0,0.9974216058599854
244,202.5,0.0,0.9973155926168006
245,207.0,0.0,0.9972064157285428
246,211.5,0.0,0.9970940117846947
247,216.0,0.0,0.9969783173747393
248,220.5,0.0,0.99685926908816
249,225.0,0.0,0.9967368035144392
250,229.5,0.0,0.9966108572430608
251,234.0,0.0,0.9964813668635067
252,238.5,0.0,0.9963482689652614
253,243.0,0.0,0.996211500137807
254,247.5,0.0,0.9960709969706271
255,252.0,0.0,0.9959266960532037
256,256.5,0.0,0.9957785339750213
257,261.0,0.0,0.9956264473255617
258,265.5,0.0,0.9954703726943088
259,270.0,0.0,0.9953102466707453
260,274.5,0.0,0.9951460058443546
261,279.0,0.0,0.9949775868046191
262,283.5,0.0,0.9948049261410224
263,288.0,0.0,0.9946279604430475
264,292.5,0.0,0.9944466263001773
265,297.0,0.0,0.9942608603018948
266,301.5,0.0,0.994070599037683
267,306.0,0.0,0.9938757790970254
268,310.5,0.0,0.9936763370694044
269,315.0,0.0,0.9934722095443036
270,319.5,0.0,0.9932633331112058
271,324.0,0.0,0.9930496443595943
272,328.5,0.0,0.9928310798789519
273,333.0,0.0,0.9926075762587617
274,337.5,0.0,0.9923790700885066
275,342.0,0.0,0.9921454979576699
276,346.5,0.0,0.9919067996290144
277,351.0,0.0,0.991660859924196
278,355.5,0.0,0.9914031261965064
279,360.0,0.0,0.9911345736016983
280,364.5,0.0,0.9908562710480043
281,369.0,0.0,0.9905692874436558
282,373.5,0.0,0.9902746916968848
283,378.0,0.0,0.9899735527159226
284,382.5,0.0,0.9896669394090013
285,387.0,0.0,0.9893559206843525
286,391.5,0.0,0.9890415654502083
287,396.0,0.0,0.9887249426148003
288,400.5,0.0,0.9884071210863604
289,405.0,0.0,0.9880891697731199
290,409.5,0.0,0.9877721575833115
291,414.0,0.0,0.9874571534251664
292,418.5,0.0,0.9871419803088919
293,423.0,0.0,0.9868098281197956
294,427.5,0.0,0.986458023750261
295,432.0,0.0,0.9860864875014439
296,436.5,0.0,0.9856951396745007
297,441.0,0.0,0.985283900570587
298,445.5,0.0,0.9848526904908602
299,450.0,0.0,0.9844014297364745
300,454.5,0.0,0.9839300386085873
301,459.0,0.0,0.9834384374083545
302,463.5,0.0,0.9829265464369317
303,468.0,0.0,0.9823944073208449
304,472.5,0.0,0.981848784333256
305,477.0,0.0,0.9812964519736399
306,481.5,0.0,0.9807427930957381
307,486.0,0.0,0.980193190553293
308,490.5,0.0,0.9796530272000468
309,495.0,0.0,0.979127685889741
310,499.5,0.0,0.9786225494761177
311,504.0,0.0,0.9781430008129187
312,508.5,0.0,0.9776932497778072
313,513.0,0.0,0.9772283440960308
314,517.5,0.0,0.9767237826513684
315,522.0,0.0,0.9761787106342985
316,526.5,0.0,0.9755922732352996
317,531.0,0.0,0.9749636156448505
318,535.5,0.0,0.9742918830534301
319,540.0,0.0,0.9735762206515159
320,544.5,0.0,0.9728155484707899
321,549.0,0.0,0.9720136368968101
322,553.5,0.0,0.9711813858189661
323,558.0,0.0,0.9703295585053275
324,562.5,0.0,0.9694689182239634
325,567.0,0.0,0.968610228242943
326,571.5,0.0,0.9677642518303367
327,576.0,0.0,0.9669340849294458
328,580.5,0.0,0.9660723768526016
329,585.0,0.0,0.965177681571962
330,589.5,0.0,0.9642605159804527
