,radius,theta,phi,value
107,600.0,180.0,0.0,0.9750099052473276
108,650.0,180.0,0.0,0.9671179984411291
109,700.0,180.0,0.0,0.9580481462140854
110,750.0,180.0,0.0,0.9432791685055739
111,100.0,0.0,0.0,1.0000656529347531
112,200.0,0.0,0.0,0.999225436475412
113,300.0,0.0,0.0,0.9963533822198455
114,400.0,0.0,0.0,0.9919424031406703
115,500.0,0.0,0.0,0.9848597104458083
116,550.0,0.0,0.0,0.9806592740040692
117,600.0,0.0,0.0,0.9751277367808115
118,650.0,0.0,0.0,0.9673230509952924
119,700.0,0.0,0.0,0.9578168977423689
120,750.0,0.0,0.0,0.9443410323797448
121,790.6324102432932,9.718720527404736,0.0,0.9500277986078917
122,790.6324102432932,170.28127947259526,0.0,0.9500277986078917
123,772.1636891299656,11.167849132041972,0.0,0.9604895218739059
124,772.1636891299656,168.83215086795803,0.0,0.9604895218739059
125,754.212914155908,12.686969403147984,0.0,0.9654578825249057
126,754.212914155908,167.313030596852,0.0,0.9654578825249057
127,728.3413759732971,15.103184860356441,0.0,0.9734299902966969
128,728.3413759732971,164.89681513964356,0.0,0.9734299902966969
129,696.0323903401265,18.595223841994272,0.0,0.9822850101317618
130,696.0323903401265,161.40477615800572,0.0,0.9822850101317618
131,666.5536935542275,22.41142426450857,0.0,0.9878864490440485
132,666.5536935542275,157.58857573549142,0.0,0.9878864490440485
133,640.2963172775975,26.56037309627096,0.0,0.9933726093247375
134,640.2963172775975,153.43962690372905,0.0,0.9933726093247375
135,617.6712159296422,31.038315028432184,0.0,0.9968797240970126
136,617.6712159296422,148.96168497156782,0.0,0.9968797240970126
137,599.0900580021585,35.82495138189244,0.0,1.000721715270777
138,599.0900580021585,144.17504861810755,0.0,1.000721715270777
139,584.938350380905,40.88012415919736,0.0,1.0025551172432294
140,584.938350380905,139.11987584080265,0.0,1.0025551172432294
141,575.5429257978221,46.142690728330145,0.0,1.005583351897766
142,575.5429257978221,133.85730927166986,0.0,1.005583351897766
143,571.1385599535181,51.53278283790677,0.0,1.008520386429061
