,radius,theta,phi,value
43,0.0,77.4,0.0,1.0000000000186808
44,0.0,79.2,0.0,1.0000000000186808
45,0.0,81.0,0.0,1.0000000000186808
46,0.0,82.8,0.0,1.0000000000186808
47,0.0,84.6,0.0,1.0000000000186808
48,0.0,86.4,0.0,1.0000000000186808
49,0.0,88.2,0.0,1.0000000000186808
50,0.0,90.0,0.0,1.0000000000186808
51,0.0,91.8,0.0,1.0000000000186808
52,0.0,93.6,0.0,1.0000000000186808
53,0.0,95.4,0.0,1.0000000000186808
54,0.0,97.2,0.0,1.0000000000186808
55,0.0,99.0,0.0,1.0000000000186808
56,0.0,100.8,0.0,1.0000000000186808
57,0.0,102.6,0.0,1.0000000000186808
58,0.0,104.4,0.0,1.0000000000186808
59,0.0,106.2,0.0,1.0000000000186808
60,0.0,108.0,0.0,1.0000000000186808
61,0.0,109.8,0.0,1.0000000000186808
62,0.0,111.6,0.0,1.0000000000186808
63,0.0,113.4,0.0,1.0000000000186808
64,0.0,115.2,0.0,1.0000000000186808
65,0.0,117.0,0.0,1.0000000000186808
66,0.0,118.8,0.0,1.0000000000186808
67,0.0,120.6,0.0,1.0000000000186808
68,0.0,122.4,0.0,1.0000000000186808
69,0.0,124.2,0.0,1.0000000000186808
70,0.0,126.0,0.0,1.0000000000186808
71,0.0,127.8,0.0,1.0000000000186808
72,0.0,129.6,0.0,1.0000000000186808
73,0.0,131.4,0.0,1.0000000000186808
74,0.0,133.2,0.0,1.0000000000186808
75,0.0,135.0,0.0,1.0000000000186808
76,0.0,136.8,0.0,1.0000000000186808
77,0.0,138.6,0.0,1.0000000000186808
78,0.0,140.4,0.0,1.0000000000186808
79,0.0,142.2,0.0,1.0000000000186808
80,0.0,144.0,0.0,1.0000000000186808
81,0.0,145.8,0.0,1.0000000000186808
82,0.0,147.6,0.0,1.0000000000186808
83,0.0,149.4,0.0,1.0000000000186808
84,0.0,151.2,0.0,1.0000000000186808
85,0.0,153.0,0.0,1.0000000000186808
86,0.0,154.8,0.0,1.0000000000186808
87,0.0,156.6,0.0,1.0000000000186808
88,0.0,158.4,0.0,1.0000000000186808
89,0.0,160.2,0.0,1.0000000000186808
90,0.0,162.0,0.0,1.0000000000186808
91,0.0,163.8,0.0,1.0000000000186808
92,0.0,165.6,0.0,1.0000000000186808
93,0.0,167.4,0.0,1.0000000000186808
94,0.0,169.2,0.0,1.0000000000186808
95,0.0,171.0,0.0,1.0000000000186808
96,0.0,172.8,0.0,1.0000000000186808
97,0.0,174.6,0.0,1.0000000000186808
98,0.0,176.4,0.0,1.0000000000186808
99,0.0,178.2,0.0,1.0000000000186808
100,0.0,180.0,0.0,1.0000000000186808
101,100.0,180.0,0.0,1.0000797477746208
102,200.0,180.0,0.0,0.9981079563495904
103,300.0,180.0,0.0,0.9957136396769045
104,400.0,180.0,0.0,0.9922259205471354
105,500.0,180.0,0.0,0.9858839751211972
106,550.0,180.0,0.0,0.9820944976938611
107,600.0,180.0,0.0,0.9769738339421775
108,650.0,180.0,0.0,0.9699223403569505
109,700.0,180.0,0.0,0.9615705672580592
110,750.0,180.0,0.0,0.9470990338720339
111,100.0,0.0,0.0,1.0001018784828837
112,200.0,0.0,0.0,0.9992401131804474
113,300.0,0.0,0.0,0.9964736333309177
114,400.0,0.0,0.0,0.9922215572100768
115,500.0,0.0,0.0,0.9852591302684666
116,550.0,0.0,0.0,0.9811298163524118
117,600.0,0.0,0.0,0.9754418940767626
118,650.0,0.0,0.0,0.9676040810409313
119,700.0,0.0,0.0,0.9579769186134095
120,750.0,0.0,0.0,0.9442164781001433
121,790.6324102432932,9.718720527404736,0.0,0.9491259727530068
122,790.6324102432932,170.28127947259526,0.0,0.9491259727530068
123,772.1636891299656,11.167849132041972,0.0,0.9581719991690721
124,772.1636891299656,168.83215086795803,0.0,0.9581719991690721
125,754.212914155908,12.686969403147984,0.0,0.9633570947674709
126,754.212914155908,167.313030596852,0.0,0.9633570947674709
127,728.3413759732971,15.103184860356441,0.0,0.9715156852114627
128,728.3413759732971,164.89681513964356,0.0,0.9715156852114627
129,696.0323903401265,18.595223841994272,0.0,0.981078967179278
130,696.0323903401265,161.40477615800572,0.0,0.981078967179278
131,666.5536935542275,22.41142426450857,0.0,0.9873812282842797
132,666.5536935542275,157.58857573549142,0.0,0.9873812282842797
133,640.2963172775975,26.56037309627096,0.0,0.9944066117896195
